company_id,company_name,company_segment,industry,month,department,company_size,licensed_users,active_users,adoption_rate,word_actions_month,outlook_actions_month,teams_actions_month,excel_actions_month,app_mix_score,avg_hours_saved_per_user_month,loaded_hourly_cost_usd,license_cost_per_user_month_usd,license_cost_month_usd,enablement_cost_month_usd,gross_value_month_usd,waste_license_cost_month_usd,net_value_month_usd,roi_percent_month,adoption_maturity_band,expansion_recommendation_flag,waste_flag
1,Northstar Labs 01,Market Leader,Finance,2026-01,Sales,19628,2880,1740,0.6042,483720,562020,66120,513300,934.0,4.75,69.21,31,89280,8042.24,345709.57,35340,248387.33,278.21,Medium,No,No
1,Northstar Labs 01,Market Leader,Finance,2026-01,Marketing,19628,2366,1551,0.6555,670032,148896,592482,347424,1134.0,7.14,55.42,31,73346,8781.71,402420.22,25265,320292.51,436.69,Medium,No,No
1,Northstar Labs 01,Market Leader,Finance,2026-01,Finance,19628,1244,871,0.7002,286559,130650,381498,26130,947.0,3.13,110.09,31,38564,7766.61,209849.0,11563,163518.39,424.02,Medium,No,No
1,Northstar Labs 01,Market Leader,Finance,2026-01,HR,19628,2516,1802,0.7162,369410,558620,221646,77486,681.0,6.94,95.2,31,77996,4523.41,852184.76,22134,769665.35,986.8,Medium,No,No
1,Northstar Labs 01,Market Leader,Finance,2026-01,Operations,19628,1058,636,0.6011,219420,127836,68688,125292,851.0,3.87,73.07,31,32798,4030.2,108180.11,13082,71351.92,217.55,Medium,No,No
1,Northstar Labs 01,Market Leader,Finance,2026-01,Engineering,19628,2619,2182,0.8331,316390,213836,569502,440764,706.0,3.57,89.72,31,81189,8523.96,581927.86,13547,492214.9,606.26,High,Yes,No
1,Northstar Labs 01,Market Leader,Finance,2026-01,Customer Support,19628,3346,2192,0.6551,964480,67952,957904,370448,1077.0,5.34,58.64,31,103726,13743.93,449976.25,35774,332506.31,320.56,Medium,No,No
1,Northstar Labs 01,Market Leader,Finance,2026-01,Legal,19628,932,735,0.7886,256515,183015,72030,105105,839.0,6.68,87.45,31,28892,2243.88,338470.52,6107,307334.63,1063.74,High,Yes,No
1,Northstar Labs 01,Market Leader,Finance,2026-02,Sales,19628,2282,1680,0.7362,151200,462000,465360,90720,696.0,6.23,119.83,31,70742,14633.52,923723.76,18662,838348.25,1185.08,Medium,Yes,No
1,Northstar Labs 01,Market Leader,Finance,2026-02,Marketing,19628,2339,1481,0.6332,481325,376174,436895,201416,1010.0,7.29,80.01,31,72509,18272.29,546695.23,26598,455913.94,628.77,Medium,No,No
1,Northstar Labs 01,Market Leader,Finance,2026-02,Finance,19628,2122,1801,0.8487,626748,340389,147682,284558,777.0,7.17,72.34,31,65782,9179.72,792702.24,9951,717740.52,1091.09,High,Yes,No
